NOM ESTACIÓ,GENER,FEBRER,MARÇ,ABRIL,MAIG,JUNY,JULIOL,AGOST,SETEMBRE,OCTUBRE,NOVEMBRE,DECEMBRE
SGDA. FAMÍLIA,534469,544320,631502,641098,677319,624707,663074,596374,613955,681516,636989,624098
H. DE ST. PAU,352850,362254,415262,360193,416899,372358,354219,274638,363928,416755,418466,377556
CAMP DE L´ARPA,232393,234062,269315,233471,267809,248414,234420,179632,236067,265581,267663,243468
SAGRERA,476940,482447,558906,480201,554716,508598,485564,379029,466209,534379,539462,465568
CONGRÉS,129235,131940,155722,133692,159009,142425,132846,100283,139111,156646,156151,139906
MARAGALL,207112,206083,204288,172962,196647,183451,185790,144397,173593,191084,191101,173535
VIRREI AMAT,297605,295367,346405,304608,350757,328632,331740,267741,331264,363682,360092,334336
VILAPICINA,216817,216100,245935,215646,247459,230238,217897,176494,223492,247548,249385,229340
HORTA,243459,239043,273833,237997,273377,251869,233510,177747,252733,272063,275545,256941
EL CARMEL,245774,241296,275424,248945,276627,259795,252268,211912,256955,281509,277647,263667
EL COLL | LA TEIXONERA,132796,130639,149326,134098,154107,143871,140597,115627,141795,158775,159635,145959
VALL D´HEBRON,107471,109381,126360,105518,124026,110181,102285,82374,109226,127193,128978,105748
SAGRERA,33782,33759,39122,33921,38653,35808,34468,27091,32199,36357,36603,32095
ONZE DE SETEMBRE,64755,64137,69479,64675,75443,68137,63982,48874,70809,79150,78809,70004
BON PASTOR,124129,120572,137552,123481,138634,130032,129579,107990,127638,141952,142374,133421
LLEFIÀ,109053,108507,125059,114125,127675,123678,118545,103234,116337,130148,130875,122170
LA SALUT,145686,145363,174072,157813,177976,171129,166502,145739,169245,181886,180276,170265
GORG,47748,50156,55494,50355,56409,57825,54952,44911,53468,58974,60580,58474
CAN PEIXAUET,87485,80924,102934,92051,101170,96838,91812,77263,95928,99988,105064,92250
SANTA ROSA,90452,90165,104568,92858,105969,99252,97319,84016,99888,107683,106547,98887
FONDO,28873,28018,32511,29392,32050,30382,29633,25247,29774,31969,32341,31360
ESGLÉSIA MAJOR,27789,28404,33400,28585,34083,30403,28114,21490,31929,34936,35081,30915
SINGUERLÍN,58863,60869,70290,59240,69610,58902,55400,43348,61785,71732,71709,64268
CAN ZAM,31514,31663,37413,32752,37391,34369,33339,24771,39433,39347,37253,31979
AEROPORT T1,111617,117996,130975,145050,143216,133939,150745,160270,147845,149108,141540,147721
AEROPORT T2,40057,41490,46292,52366,54055,47674,50830,50338,52518,59199,54231,53020
MAS BLAU,29685,26392,33475,30038,31672,32757,34911,31591,30828,37710,47969,46085
PARC NOU,40291,42530,49403,45090,50078,47209,43791,37544,48141,51937,49865,41694
CÈNTRIC,99176,99342,115595,104206,113832,106915,103743,86758,103456,117342,114774,111551
EL PRAT ESTACIÓ,52868,55981,66116,58610,57085,57683,57615,48130,60459,64846,64571,56928
LES MORERES,64500,60634,77601,67601,78739,69291,65449,51647,70083,79686,80039,70479
MERCABARNA,51096,51807,56556,45763,54866,49948,49755,42549,47578,53013,53849,45799
PARC LOGÍSTIC,15303,14749,17564,14440,18251,17111,17030,14816,16255,18497,18996,15650
FIRA,45873,68109,64414,54063,50925,60199,38970,36271,43126,66894,64087,70564
EUROPA - FIRA,133064,162471,171064,146865,156948,148743,150016,127006,138776,174362,166879,155226
CAN TRIES - GORNAL,61823,63701,75587,64542,73507,65429,53516,38050,53896,72669,76901,64106
TORRASSA,51727,51674,60098,55720,60796,56910,56268,49221,56650,61304,60680,57415
COLLBLANC,49535,51541,59857,56590,61120,53703,51843,46455,53742,59824,58605,55217
ZONA UNIVERSITÀRIA,48597,59487,73909,53586,70121,48725,36720,25641,56122,69206,70808,51473
ZAL - RIU VELL,26561,24650,28264,22949,28519,27845,27541,27109,26021,27293,27702,23434
ECOPARC,13175,12898,15403,12677,15705,14906,13527,11966,13232,13639,13396,11023
P. COMERCIAL - LA FACTORIA,8001,7821,9505,7725,9681,9572,10131,8402,8599,9949,10264,7401
