NOM ESTACIÓ,GENER,FEBRER,MARÇ,ABRIL,MAIG,JUNY,JULIOL,AGOST,SETEMBRE,OCTUBRE,NOVEMBRE,DESEMBRE
MUNDET,161567,196519,185244,210215,198513,139688,109605,77331,158405,246941,209217,165897
VALLDAURA,102093,105758,101746,109408,109435,97445,83143,63901,96044,118092,111183,102139
CANYELLES,124953,130029,122473,132862,131627,114539,107260,78418,116328,148900,137413,125761
ROQUETES,115812,115774,115213,121232,123311,112842,109954,88941,109521,130580,121880,115399
TRINITAT NOVA,79265,82832,79704,84991,87542,78605,74426,58099,74324,93864,86526,80116
LA PAU,79789,80964,79772,84000,85034,77667,74684,0,72297,86107,80296,79169
BESÒS,109253,110273,109260,115193,118948,108272,90958,19718,96709,114981,107681,106556
BESÒS MAR,170972,170746,173339,178525,188418,175359,141920,34260,152311,183809,172760,167064
MARESME - FÒRUM,246667,258036,271776,320786,361737,313817,253331,57196,244976,296097,270226,257834
SELVA DE MAR,169124,182383,174472,186505,190820,174504,204528,237447,156684,198535,174430,155723
POBLENOU,251449,267201,255418,280022,299221,285587,266261,199696,280951,286956,247458,246471
LLACUNA,196191,212864,201418,218039,229711,203725,191764,145866,190728,229439,204352,175376
BOGATELL,128597,143097,140543,147441,155171,141448,136598,96897,141372,169601,155126,133124
CIUTADELLA,219012,237343,214265,249432,280525,277780,262385,198638,216604,258487,220489,175010
BARCELONETA,428255,461359,500391,533491,576546,538713,566924,481373,465188,489728,410357,420881
JAUME I,405604,439868,455249,481243,495574,467825,453495,383300,460032,508865,454708,461163
URQUINAONA,374370,391449,393877,409576,409626,390189,407127,291578,327765,389999,375886,381157
P. DE GRÀCIA,258491,255646,258425,277792,276437,237901,256436,234281,245873,292737,278042,284724
GIRONA,155074,165873,162707,175145,177824,166499,176198,124269,155574,185245,167699,149356
VERDAGUER,167666,175993,178369,188314,191479,177518,182536,140926,164646,198223,183844,168632
JOANIC,425016,445094,442443,466596,471700,437685,415319,332575,407197,479698,442419,407532
ALFONS X,262037,268298,269955,285980,293473,265888,255764,197832,262756,311675,288434,273765
GUINARDÓ,174935,179656,173503,185513,187102,174855,165775,119969,168426,200776,189292,178322
MARAGALL,135850,139599,138163,146300,162631,148867,142358,112670,145774,167265,160792,157878
LLUCMAJOR,267007,271439,273210,282228,295002,272490,265683,208688,259649,303480,290296,284479
VIA JÚLIA,222377,224200,222283,235006,245767,231877,221862,182175,220089,255907,244151,241867
TRINITAT NOVA,63859,65073,63674,68042,71129,64574,60697,50342,62153,75178,72045,68414
CORNELLÀ CENTRE,297105,311271,304531,322370,369824,273223,83,104,247231,319179,303834,293374
GAVARRA,136680,139893,138653,144252,149411,111387,2,1,114301,149054,139309,132754
ST. ILDEFONS,289647,298799,301693,309379,320741,237757,1,2,250424,303526,293133,291529
CAN BOIXERES,110658,114646,113292,118623,122322,90385,1,0,96899,124617,118087,114388
CAN VIDALET,336566,342105,351005,358567,371795,277830,2,1,285255,353673,337735,341565
PUBILLA CASAS,440205,444095,458663,467329,482539,362678,0,2,379355,462495,444848,445481
ERNEST LLUCH,216328,226879,225654,237551,250352,186009,33,0,186129,240297,230254,219481
COLLBLANC,548418,565182,578537,604139,614073,611792,604842,497055,550837,649350,615356,599936
BADAL,381910,396111,396021,411408,422488,382459,333089,266681,363316,431867,403556,390100
PL. DE SANTS,292839,306127,303962,320426,324654,290390,247047,203332,283770,342197,320616,302058
SANTS ESTACIÓ,613482,648759,664337,696788,713688,659478,662413,572217,643487,726843,660074,622468
ENTENÇA,343986,356783,350121,372547,378764,341069,321508,224635,324056,402940,377524,345199
H. CLÍNIC,644714,679034,646635,701673,694906,595580,550465,386193,581539,737571,681576,605930
DIAGONAL,881465,916611,906775,973891,974174,861244,820975,594531,877534,1101186,1020878,931075
VERDAGUER,351751,371968,369895,392319,394668,352949,345435,268288,336987,419813,406457,367470
SGDA. FAMÍLIA,597748,622902,667271,700326,706754,624494,737485,672398,619454,706188,628823,625528
H. DE ST. PAU,397298,417962,407979,439393,431950,384839,377844,283540,372223,463391,425672,403377
CAMP DE L´ARPA,260070,266485,263938,276462,280294,253068,236741,175725,241614,295306,276685,263378
SAGRERA,511912,525874,513511,544249,544386,486990,487244,360179,482208,587237,543778,524171
CONGRÉS,153657,160379,157647,165677,160848,148261,139915,99928,143343,174773,165182,155701
MARAGALL,183367,187105,186139,195042,220580,213000,206444,161417,206292,244803,234092,227602
VIRREI AMAT,349613,357046,356967,371969,375586,348512,332079,256979,335324,393303,373008,367062
VILAPICINA,239874,247714,246179,258115,261285,245617,237929,189827,236028,278950,266589,252361
HORTA,269567,274095,271036,284741,287820,268569,257743,188571,266566,305117,293640,287260
EL CARMEL,270057,274265,275308,282636,291454,275458,272817,227739,266480,310770,296509,292194
EL COLL | LA TEIXONERA,152771,155280,155933,162524,165532,155723,155331,128591,151069,179432,171488,166214
VALL D´HEBRON,120157,124271,119835,127996,125970,111391,110834,84439,110505,142464,132086,117138
SAGRERA,34907,35809,35161,37170,37980,34448,33826,24964,33500,40444,37757,36912
ONZE DE SETEMBRE,78692,80895,78435,82892,84138,74038,70789,45393,73921,90415,85338,82049
BON PASTOR,140336,140470,142795,148243,151015,143216,147466,113882,136670,159737,152424,150290
LLEFIÀ,127198,128447,128260,133191,137994,129267,132208,86235,121419,142228,135190,134383
LA SALUT,180690,179532,182872,188872,197186,185033,185511,124161,173935,205077,194864,194619
GORG,57668,58962,59917,63774,68236,62583,64182,0,56048,66726,64116,65291
CAN PEIXAUET,98591,102861,102380,110535,113047,105100,103790,84221,102141,120709,113359,110258
SANTA ROSA,105906,107776,110793,114211,116914,107993,109691,95416,106914,123397,115200,116061
FONDO,31367,31520,32103,32859,34240,32250,33227,29238,32035,36039,34474,34547
ESGLÉSIA MAJOR,34065,35374,35521,37603,38238,34737,32282,24097,33804,41689,38470,36970
SINGUERLÍN,69229,73325,69994,75036,75938,66715,62997,48409,66056,84492,78532,75380
CAN ZAM,34770,36469,36785,38500,40676,37039,45006,29784,37685,43068,41122,43490
AEROPORT T1,139389,146461,155141,159758,165722,163173,170063,177735,163214,168048,149464,157448
AEROPORT T2,57734,50063,48453,55313,54746,47653,52017,54087,68334,74945,64393,65595
MAS BLAU,34164,30263,30775,33269,36713,37403,45539,40665,36899,43648,46296,48143
PARC NOU,45213,49850,48718,52769,55332,48568,45702,37907,50970,57063,52749,48126
CÈNTRIC,113128,115958,116399,120044,123279,115462,112286,91700,113459,132112,124402,125152
EL PRAT ESTACIÓ,58843,62874,60613,65562,65680,60523,60986,48888,61389,68902,62949,59740
LES MORERES,74602,77441,75878,81773,83184,74179,73123,56436,74243,91903,83863,78699
MERCABARNA,59217,61783,58543,65393,65921,57973,63770,53781,57696,72442,65164,60244
PARC LOGÍSTIC,18314,17706,17348,19447,20097,18216,20528,16045,18025,22916,21668,19724
FIRA,59109,104691,62777,91183,57388,57762,48787,40806,69706,62836,60573,71847
EUROPA - FIRA,162023,187031,169945,179133,175789,165162,166822,147249,170166,178382,176669,167776
CAN TRIES - GORNAL,71827,73544,75637,78202,80190,69989,58627,46540,66986,84771,79503,73607
TORRASSA,57906,58996,60774,63394,66075,62671,64870,56875,61246,68276,64327,62809
COLLBLANC,57049,59129,60255,63025,63926,68179,314093,257428,58417,66354,63273,61462
ZONA UNIVERSITÀRIA,53312,66774,63149,69713,70189,54120,49476,33345,63231,88636,76802,62963
ZAL - RIU VELL,26563,26556,25991,27848,27905,27180,31475,27550,27723,32858,30006,28401
ECOPARC,12832,13331,13169,14144,14652,13964,15915,13356,14332,16348,15024,14226
P. COMERCIAL - LA FACTORIA,8953,8953,9061,9825,10137,10143,11920,8894,9286,11408,9524,8278
ZONA FRANCA,14410,14154,13858,16169,16631,15399,17460,13599,15021,18370,16483,14968
FOC,64605,70992,64160,76013,68741,63344,61263,44444,65443,81001,76295,65488
FONERIA,69524,70797,71554,73619,76269,73209,69089,57924,69476,82408,78540,76947
CIUTAT DE LA JUSTÍCIA,53919,56089,53941,59151,60771,54793,53226,41152,52691,66328,60126,56978
PROVENÇANA,64489,65593,66736,68959,70674,61264,59607,52710,66328,77348,70951,69978
TRINITAT NOVA,8251,8416,8230,8793,9187,8339,7842,6490,8021,9718,9299,8825
CASA DE L'AIGUA,4053,4194,3944,4309,4258,3333,3233,2604,3685,4641,4619,4011
TORRE BARÓ|VALLBONA,26470,28293,27861,28546,35096,31007,23853,19118,25677,31635,30063,26754
CIUTAT MERIDIANA,45785,47303,46857,49057,56772,53036,45883,37122,46577,54899,53271,50482
CAN CUIÀS,25194,25712,24960,25901,28457,25659,25191,20213,25593,29692,27234,27046
Funicular - Paral·lel,21123,22104,22840,23884,24695,21428,27165,23921,21314,25414,23798,21560
Funicular - Miramar,50978,49193,75050,86210,88346,69134,73973,79341,67867,82808,58023,51563

