NOM ESTACIÓ,GENER,FEBRER,MARÇ,ABRIL,MAIG,JUNY,JULIOL,AGOST,SETEMBRE,OCTUBRE,NOVEMBRE,DESEMBRE
HOSPITAL DE BELLVITGE,81379,96013,126106,105128,125110,105634,95222,73137,115471,128903,138016,103113
BELLVITGE,122150,129849,161093,146975,160774,142980,133650,100881,157305,162441,167753,152955
AV. CARRILET,201641,229108,279784,253098,280639,253301,243588,189221,270702,297773,306237,280469
R.J.OLIVERAS,130480,144360,178969,160382,178965,158319,149195,114859,167969,187510,189195,169776
CAN SERRA,114887,121674,141434,142139,150817,140402,134132,106850,142512,157622,157387,150666
FLORIDA,155635,159639,184887,183543,195531,184931,183352,157474,189296,203135,196859,198259
TORRASSA,260898,279370,320476,315468,344596,318469,316476,270490,335653,359244,353290,339377
STA. EULÀLIA,316970,343805,403177,378000,412737,384854,371460,297496,398574,430465,433046,411339
MERCAT NOU,97990,106974,123709,121932,127869,119360,115903,90455,124725,135981,135017,129787
PL. DE SANTS,129483,144760,173518,168071,176884,165940,151877,128123,173845,187902,186877,176370
HOSTAFRANCS,105782,119415,140573,131944,144748,133945,124591,99531,145084,155650,155064,142423
ESPANYA,481392,543458,695714,689505,736505,692199,674458,549204,722635,796021,747848,708590
ROCAFORT,243850,279688,333932,302213,335396,305164,291079,227784,317785,350143,356606,321454
URGELL,209722,235284,286341,271823,287556,272518,256714,198465,282186,305164,310097,281510
UNIVERSITAT,293924,326775,396086,374905,403761,366545,345434,289765,397250,449779,455168,424753
CATALUNYA,431808,470439,556974,577886,591373,552396,577410,490749,580312,667130,654928,673469
URQUINAONA,189365,212816,258784,240073,254602,241399,221594,179173,246299,269236,275138,261406
ARC DEL TRIOMF,305359,341136,407901,423304,445188,413561,412040,357358,440630,475332,436037,421653
MARINA,194271,256550,313880,295288,318667,291851,263036,198307,302472,339173,342547,289451
GLÒRIES,367708,428306,482357,460724,523590,488665,455111,363743,477593,562850,571091,518311
CLOT,268905,303623,359285,343685,366786,334862,326271,264381,339733,350175,349526,339927
NAVAS,151314,159761,189530,178906,195027,178588,167898,133559,183424,196514,200060,198521
SAGRERA,281508,316741,374178,329778,382187,341983,356817,278757,366344,409172,423100,378023
FABRA I PUIG,381399,417521,480671,451882,493975,439540,479785,361228,469653,510830,526388,492630
ST. ANDREU,225176,240085,314071,270332,297418,277945,242472,180364,391635,570299,555861,346959
TORRAS I BAGES,159880,171280,194201,182095,203502,187451,180911,139125,190488,207575,212653,211682
TRINITAT VELLA,87147,94103,106737,95829,111561,102270,107242,75012,105618,112785,113496,103889
BARÓ DE VIVER,26475,29988,35529,30534,35705,31043,28568,21384,35153,37734,39124,33700
