NOM ESTACIÓ,GENER,FEBRER,MARÇ,ABRIL,MAIG,JUNY,JULIOL,AGOST,SETEMBRE,OCTUBRE,NOVEMBRE,DESEMBRE
STA. COLOMA,211995,235723,279198,254303,282443,261882,246104,194069,276896,293472,295358,284573
FONDO,297112,311365,360872,335659,360746,346876,337045,290571,362814,383104,390304,383308
PARAL.LEL,179259,204589,244161,239799,255674,239926,235005,207965,254337,275701,269549,248682
SANT ANTONI,252567,261942,311438,287363,315123,293040,281320,238883,303560,328067,331374,312791
UNIVERSITAT,145775,161785,195319,184437,198199,180348,169793,143067,194933,220915,223256,207829
PG. DE GRÀCIA,163714,168193,208043,221153,227733,219423,220486,193809,228138,247677,243435,252428
TETUAN,135689,150169,193230,173394,187691,167578,158116,125263,184294,200021,205286,185372
MONUMENTAL,111550,126097,153062,141534,153187,141160,136116,109867,151886,165071,166412,154725
SGDA. FAMÍLIA,232181,263005,318281,337770,353187,342213,359154,333586,359430,397571,367714,367763
ENCANTS,129974,140848,166084,161423,171053,160808,151741,122185,168436,181976,187252,176419
CLOT,131246,147007,173619,167582,177949,163388,159121,129271,167252,174388,173799,168390
BAC DE RODA,157650,173801,206421,181307,204745,188010,175441,134266,199902,216867,224127,214813
SANT MARTÍ,185841,204229,236606,209285,237742,215302,199129,155390,227710,250993,259903,241517
LA PAU,100307,107189,125043,112745,128318,116686,112321,92895,129200,138874,141610,137790
VERNEDA,35437,39651,47928,44020,47934,44094,40456,36962,47576,51049,52595,48465
ARTIGUES | S. ADRIÀ,249160,269240,314060,291600,326455,305898,289955,247654,318659,336625,341522,329615
SANT ROC,102199,109254,128068,116281,134169,125630,123910,103410,132989,141873,142797,132658
GORG,76583,80906,95848,94517,102645,96447,90701,72892,97136,105608,106319,106087
PEP VENTURA,107985,121015,146224,129716,149958,140382,133839,103824,146496,152961,155449,140675
BADALONA | POMPEU FABRA,238645,269288,323820,293419,347965,325418,312822,241704,358690,361873,374170,319130
Z.UNIVERSITÀRIA,98521,139422,178297,143167,175987,123259,97831,65528,181677,204419,200577,146677
PALAU REIAL,127457,175671,257162,218071,238950,168667,138704,87157,244672,294430,282297,195601
MARIA CRISTINA,169079,193259,234858,219069,236461,214008,205823,149522,236915,251347,254086,233068
LES CORTS,120049,148604,178202,178842,187315,162942,155453,112408,172176,201930,188876,173169
PL. DEL CENTRE,92203,103636,125496,116277,124330,112862,102841,67971,119354,133127,134546,122810
SANTS ESTACIÓ,171889,197105,244401,225173,255225,238443,224431,195006,251140,270846,264254,239940
TARRAGONA,68529,80289,101020,97000,106493,95133,90258,54796,102082,105110,105557,96344
ESPANYA,244847,269788,347649,357301,384778,356975,341668,262899,373294,391280,372055,345210
POBLE SEC,255344,276451,336193,308631,339878,312050,297766,195414,324247,352725,350949,325944
PARAL.LEL,256460,292066,348427,342318,364942,343110,336349,295729,363456,394056,385010,355624
DRASSANES,206842,235180,284375,317972,335645,318592,368514,117409,334205,371032,330890,332953
LICEU,320816,374494,455741,518456,522503,493812,346723,419731,516045,562086,502156,523501
CATALUNYA,511281,562188,668033,686811,707781,658925,694661,568136,691633,793397,779110,790540
P. DE GRÀCIA,218675,253316,307855,328579,329448,313326,310698,263287,306945,320124,301067,310418
DIAGONAL,253499,293426,360348,368985,379197,351642,343570,295410,369654,407972,400709,372657
FONTANA,250072,283913,341832,315464,338485,310557,294466,242104,310830,358133,358850,335067
LESSEPS,259841,308375,369146,379817,407481,370242,361813,290131,376279,421315,399824,357948
VALLCARCA,142796,161984,196716,196530,208686,189345,190733,160381,199737,220259,218573,198829
PENITENTS,71747,81922,96765,84734,97785,84181,74575,51347,87509,97632,103869,89628
VALL D´HEBRON,119213,133927,160057,138985,158909,143322,122100,92950,151098,168116,177295,151084
MONTBAU,73786,86018,101671,90610,103070,92101,87085,66657,94545,106275,111218,99110
MUNDET,109553,143227,183155,149406,175379,121323,91236,65006,155295,204878,207258,143035
VALLDAURA,69213,77331,87513,78488,91770,80168,81698,63945,90718,95467,98758,87272
CANYELLES,84639,96233,112684,100401,112934,97082,88562,64201,111068,121603,124913,106816
ROQUETES,79831,86678,101440,89529,102621,93267,86814,69053,99738,110262,109940,101637
TRINITAT NOVA,55682,61743,71409,64412,70679,64683,61674,46453,71079,77321,78895,67654
BESÒS,69651,74785,87270,81037,88520,80330,75540,64939,88924,92037,94738,92105
BESÒS MAR,108580,112959,132690,123943,138198,146541,124519,111360,135513,147599,147970,142867
MARESME - FÒRUM,136077,145171,182480,243528,224695,262813,242371,193029,222686,247550,232270,226451
SELVA DE MAR,85191,101425,128016,123695,141789,144642,131375,105298,131967,138636,144930,129820
POBLENOU,166840,191034,216566,208568,244651,233993,217728,182980,241294,246690,244257,223775
LLACUNA,111588,137309,166223,163208,180301,168974,161785,139199,174388,191065,189892,159454
BOGATELL,73797,94567,115985,110147,117941,119092,108048,85000,119456,129071,126428,107698
CIUTADELLA,135149,161479,182276,202042,247626,260919,241886,210932,206021,243437,223132,175252
BARCELONETA,243701,269299,308609,399393,435031,466276,447566,433912,440722,455891,381393,379247
JAUME I,220965,260937,305844,350992,356049,370248,360559,327344,374496,401225,382565,388464
URQUINAONA,236725,256441,298364,303117,320504,319727,301505,257106,320550,350079,355315,360068
P. DE GRÀCIA,160274,171343,202464,212980,220260,211079,211430,182412,210808,232274,227401,231578
GIRONA,88681,103695,126184,116065,130004,128409,114931,91763,122932,136929,135963,115283
VERDAGUER,108979,124726,151744,134434,155786,149722,142059,116742,150440,164216,159509,141852
JOANIC,267754,305998,359864,339138,375012,363043,341908,302032,357162,397564,398056,357789
ALFONS X,167117,184490,218008,216823,232958,218644,216115,179444,230499,247467,250027,234779
GUINARDÓ,111994,126343,153240,139853,150030,142908,129717,102778,145257,156692,161444,149380
MARAGALL,51362,57829,66889,89407,104476,102766,210891,171629,114620,123323,124752,124258
LLUCMAJOR,186944,202482,232997,223176,243364,223174,250270,206530,240341,254453,258579,247136
VIA JÚLIA,154733,168293,192047,174619,199954,186789,175122,145529,193662,206499,207411,205421
TRINITAT NOVA,43457,46626,53473,49398,56415,51687,48277,40353,54506,59668,60543,54620
CORNELLÀ CENTRE,189531,212647,238125,213523,255575,239832,211967,173238,249286,264385,268182,252261
GAVARRA,84606,97471,107949,97461,109098,104573,98457,77013,110247,117313,121038,108955
ST. ILDEFONS,196749,210336,228760,222905,252407,236012,227016,194016,247915,266116,268157,264193
CAN BOIXERES,70407,78073,102966,79603,92568,82966,75689,58608,89313,97721,99370,91154
CAN VIDALET,230973,245893,282256,248756,286158,260768,258940,215397,269539,298489,299318,290973
PUBILLA CASAS,307732,322995,373195,331133,380084,355131,346151,297430,367435,395318,396052,389352
ERNEST LLUCH,100704,117316,146123,124925,153450,145661,138141,115077,163608,175851,180044,162890
COLLBLANC,363643,402982,479197,448995,490149,451855,434736,403923,471082,534043,507088,484136
BADAL,243859,272203,328191,281616,327702,299779,284183,243646,318533,350058,344325,330913
PL. DE SANTS,192737,216681,256748,217824,253580,231357,204203,173847,246052,268944,266537,246763
SANTS ESTACIÓ,378599,434161,528538,485413,563044,534501,511309,469079,558200,596017,576797,537057
ENTENÇA,205660,237466,283232,222168,276351,246226,226149,171283,264829,293454,304247,274140
H. CLÍNIC,407541,474962,569999,441121,545787,474437,413823,312109,516588,571800,596332,502228
DIAGONAL,578573,665700,809478,658147,793220,714154,646494,481915,763592,828222,847594,743655
VERDAGUER,216707,251430,308441,228117,303808,280970,247415,204767,287253,320565,325359,278830
SGDA. FAMÍLIA,349218,399516,484192,434513,526608,504620,504952,467323,527849,587216,540269,541843
H. DE ST. PAU,256302,290908,347373,233087,335355,302430,265366,209632,329645,363570,369743,337069
CAMP DE L´ARPA,165436,181919,221451,146137,215780,195535,175501,136005,209849,228326,233387,220215
SAGRERA,349556,395620,467921,399451,472337,421903,456088,357857,455212,509969,530061,466938
CONGRÉS,97088,110430,132918,86036,127167,113581,8,9,108168,122743,127045,119419
MARAGALL,171293,193963,226214,165600,202903,185327,0,0,179666,201711,206254,199780
VIRREI AMAT,229967,245641,289134,191304,287619,260500,0,8,255769,287485,293335,286569
VILAPICINA,160013,175700,205466,166125,205727,187449,3,10,188652,210021,214211,206872
HORTA,176614,194505,227645,177744,224395,203265,105462,21,211518,233671,241637,233761
EL CARMEL,187811,195656,232202,192869,232397,219096,124599,82927,213111,239134,243469,235585
EL COLL | LA TEIXONERA,100684,109755,126611,104651,126949,119650,69324,41498,117934,130748,132223,128140
VALL D´HEBRON,78055,87703,105037,90636,103899,93472,78966,59921,98492,109805,115740,98310
SAGRERA,25390,28237,33021,29390,33405,29970,32187,24961,32165,35794,36722,32819
ONZE DE SETEMBRE,49268,52492,61970,53034,62034,56359,53183,39044,61621,66556,67178,60379
BON PASTOR,89697,96472,109202,96998,113070,106370,103681,85069,113063,121897,120504,117863
LLEFIÀ,77944,88883,98237,90573,105587,99444,94049,79947,98079,108544,107687,106339
LA SALUT,113926,118268,138181,122784,139067,133499,124256,110847,140779,152714,151953,145956
GORG,34030,35837,42626,40264,46514,44876,42860,33809,44220,47841,47814,46717
CAN PEIXAUET,63617,63849,71438,68256,80929,69443,68355,58919,81179,85925,86401,83420
SANTA ROSA,69101,72266,81666,71660,83441,78072,75034,64461,84325,91826,91552,87882
FONDO,22363,23436,27162,25265,27153,26109,25369,21871,27309,28836,29378,28851
ESGLÉSIA MAJOR,19612,21391,24225,20423,23894,22668,20038,14976,25234,26690,28024,25395
SINGUERLÍN,45340,47034,56898,48914,56578,46179,39186,34738,55553,60752,61993,50962
CAN ZAM,20779,23033,26665,24165,27662,27453,34014,19949,32421,32340,33628,29587
AEROPORT T1,59061,62552,84724,111687,114367,119765,121976,127736,125332,128826,109113,104390
AEROPORT T2,27310,36836,47027,53791,55021,49088,46236,35107,37857,42912,35832,31414
MAS BLAU,25704,25551,29128,27877,31680,31090,32497,30323,30951,30883,37914,36262
PARC NOU,27837,31583,38500,36511,41179,37981,35780,30574,40571,42933,42033,36176
CÈNTRIC,72625,76177,94159,88597,98220,88962,89464,75894,97804,102678,99186,93458
EL PRAT ESTACIÓ,36248,40262,51887,47663,53759,49544,34883,38814,53122,52598,51971,48256
LES MORERES,47067,53027,58271,57010,63823,57134,54930,44972,63581,67876,66898,58511
MERCABARNA,40368,43653,51862,45491,53779,49324,48332,43843,52024,51590,54296,47012
PARC LOGÍSTIC,12675,13412,14863,12866,14397,13691,14133,13170,14892,14912,16521,14444
FIRA,24315,31520,46435,47424,51866,48570,36237,39786,52008,46613,49372,48952
EUROPA - FIRA,92022,105853,131013,126553,142361,130004,114005,110423,135161,130407,129716,114662
CAN TRIES - GORNAL,44965,47873,59550,52460,60254,52098,46653,36547,57991,66123,66430,57880
TORRASSA,38983,41742,47886,47139,51491,47587,47289,40418,50155,53680,52790,50712
COLLBLANC,35544,39001,46631,43641,48117,44623,42781,38956,46109,52251,50545,47867
ZONA UNIVERSITÀRIA,32840,46474,59432,47722,58662,41086,32610,21843,60559,68140,66859,48892
ZAL - RIU VELL,17450,18065,21645,20178,24415,24509,26848,25382,26631,25139,24886,22079
ECOPARC,7982,8593,9891,8563,10699,10311,11069,9938,11575,11095,11759,11077
P. COMERCIAL - LA FACTORIA,5626,6310,7969,7919,8662,8000,8076,6587,7842,7853,8008,6963
ZONA FRANCA,7775,8898,12808,10112,11944,11161,11539,10099,12004,12902,12591,11377
FOC,36072,43380,51585,43007,46075,42506,41252,31938,56600,55761,61041,50715
FONERIA,47447,49842,60506,54091,62379,58298,53812,40041,60062,64779,65332,63621
CIUTAT DE LA JUSTÍCIA,31499,35683,43807,37447,44125,41179,38169,30167,37738,40515,42339,44764
PROVENÇANA,39055,40831,50147,45252,51459,47288,45417,38164,50148,55224,55116,56189
TRINITAT NOVA,5624,6041,6932,6398,7293,6682,6248,5202,7057,7724,7838,7058
CASA DE L'AIGUA,2538,2936,3378,2756,2000,1112,1922,2129,3638,4091,4031,3300
TORRE BARÓ|VALLBONA,18872,20650,23492,20951,23914,21412,19195,15399,24711,25911,27145,23471
CIUTAT MERIDIANA,32858,35489,39989,35459,39255,36016,32478,27720,40157,42702,43976,39188
CAN CUIÀS,18061,18897,21216,20072,21596,20218,19021,15752,22524,23406,24319,23191
